"0.3.0","8","0.03238866478204727"
"0.3.1","5","0.02024291455745697"
"0.3.2","8","0.03238866478204727"
"0.3.3","10","0.04048582911491394"
"0.3.4","13","0.05263157933950424"
"0.3.5","11","0.044534411281347275"
"0.3.6","12","0.04858299717307091"
"0.3.7","13","0.05263157933950424"
"0.4.0","11","0.044534411281347275"
"0.5.0","13","0.05263157933950424"
"0.6.0","14","0.056680161505937576"
"0.6.1","11","0.044534411281347275"
"0.6.2","11","0.044534411281347275"
"0.7.0","8","0.03238866478204727"
"0.8.0","11","0.044534411281347275"
"0.8.1","14","0.056680161505937576"
"0.8.2","11","0.044534411281347275"
"0.8.3","7","0.028340080752968788"
"0.8.4","7","0.028340080752968788"
"0.8.5","9","0.036437246948480606"
"0.8.6","11","0.044534411281347275"
"0.8.7","11","0.044534411281347275"
"0.9.0","4","0.016194332391023636"
"0.9.1","6","0.024291498586535454"
"0.9.2","8","0.03238866478204727"
